id,category,product_name,product_type,quantity,units,batch_number,mfg_date,expiry_date,actual_price,selling_price,gst,product_code,created_by,created_at,updated_at,modified_by,actual_price,is_active,selling_price2,selling_price3
,1,1/4'' Elbow,Sales,25,nos,,,,67.8,67.8,,SA-123,1,,,,,TRUE,,
,1,1/4'' Valve,Sales,25,nos,,,,50.85,50.85,,SA-124,1,,,,,TRUE,,
,1,1/4 x 8 Pipe Black,Sales,25,nos,,,,59.32,59.32,,SA-125,1,,,,,TRUE,,
,1,Air Cylinder 25dia,Sales,25,nos,,,,1021.14,1021.14,,SA-126,1,,,,,TRUE,,
,1,Cartridge Heater,Sales,25,nos,,,,1550,1550,,SA-127,1,,,,,TRUE,,
,1,Chart Paper for Recorder,Sales,25,nos,,,,155,155,,SA-128,1,,,,,TRUE,,
,1,Chino Recorder Ribbon Cassette (100MM),Sales,25,nos,,,,2200,2200,,SA-129,1,,,,,TRUE,,
,1,Class-5 Indicator,Sales,25,nos,,,,8,8,,SA-130,1,,,,,TRUE,,
,1,Data Logger,Sales,25,nos,,,,81900,81900,,SA-131,1,,,,,TRUE,,
,1,Digital Timer,Sales,25,nos,,,,2750,2750,,SA-132,1,,,,,TRUE,,
,1,Door Handle16 CF & 24 CF,Sales,25,nos,,,,2800,2800,,SA-133,1,,,,,TRUE,,
,1,Gasket (V Type Silicon Gasket - 4.5 CF,Sales,25,nos,,,,650,650,,SA-134,1,,,,,TRUE,,
,1,F Nipple,Sales,25,nos,,,,272,272,,SA-135,1,,,,,TRUE,,
,1,Heating Tape - 10mtr,Sales,25,nos,,,,8800,8800,,SA-136,1,,,,,TRUE,,
,1,Humidity Bottle with Sensor,Sales,25,sets,,,,1250,1250,,SA-137,1,,,,,TRUE,,
,1,Industrial Heater 6KW,Sales,25,nos,,,,1228.85,1228.85,,SA-138,1,,,,,TRUE,,
,1,Led Indicator PCB,Sales,25,nos,,,,2200,2200,,SA-139,1,,,,,TRUE,,
,1,Male Elbow 8x1/4,Sales,25,nos,,,,55,55,,SA-140,1,,,,,TRUE,,
,1,Neoprene Rubber Gasket,Sales,25,mtr,,,,750,750,,SA-141,1,,,,,TRUE,,
,1,PID Temperature Controller,Sales,25,nos,,,,6500,6500,,SA-142,1,,,,,TRUE,,
,1,Power Supply Board - EtO,Sales,25,nos,,,,860,860,,SA-143,1,,,,,TRUE,,
,1,Power Supply for 4.5cf Auto,Sales,25,nos,,,,1500,1500,,SA-144,1,,,,,TRUE,,
,1,Pressure Regulating Valve,Sales,25,nos,,,,918,918,,SA-145,1,,,,,TRUE,,
,1,Printer Ribbon Cartridge,Sales,25,nos,,,,650,650,,SA-146,1,,,,,TRUE,,
,1,PT-100 Simplex Sensor 1.5 Mtr,Sales,25,nos,,,,725,725,,SA-147,1,,,,,TRUE,,
