id,category,product_name,product_type,quantity,units,batch_number,mfg_date,expiry_date,selling_price,gst,product_code,created_by,created_at,updated_at,modified_by,actual_price,is_active,selling_price2,selling_price3
15,1,Humidity Bottle with Sensor,Sales,25,sets,,,,,,SA-1,1,15-07-2021 00:00,,,1250,TRUE,,
19,1,Neoprene Rubber Gasket,Sales,25,mtr,,,,,,SA-2,1,15-07-2021 00:00,,,750,TRUE,,
26,1,PU Tube 12MM,Sales,25,mtr,,,,,,SA-3,1,15-07-2021 00:00,,,102,TRUE,,
27,1,PU Tube 8MM,Sales,25,mtr,,,,,,SA-4,1,15-07-2021 00:00,,,48,TRUE,,
35,1,"Tufflon Tube (1/2"" Hose Assembly)",Sales,25,mtr,,,,,,SA-5,1,15-07-2021 00:00,,,390,TRUE,,
36,1,Maintenance & Repair Services,Sales,25,,,,,,,SA-6,1,15-07-2021 00:00,,,,TRUE,,
66,12,Ratcon Cake - 100gm,Sales,25,Pkts,,,,,,SA-7,1,15-07-2021 00:00,,,11,TRUE,,
69,13,Kwik Sleep Incense Sticks,Sales,25,Dozen,,,,,,SA-8,1,15-07-2021 00:00,,,50,TRUE,,
71,14,Sanitizer 5 Ltr,Sales,25,Ltr,,,,,,SA-9,1,15-07-2021 00:00,,,290,TRUE,,
76,15,Budenat IM,Service,25,ml,BR191094,,,,,SA-10,1,15-07-2021 00:00,,,360,TRUE,,
77,15,Kingfog 1 Ltr,Service,25,ml,,,,,,SA-11,1,15-07-2021 00:00,,,1680,TRUE,,
78,15,K-Othrin,Service,25,ml,PGSC000076,,,,,SA-12,1,15-07-2021 00:00,,,1,TRUE,,
79,15,Premise 5 Ltr,Service,25,ml,PGSC000072,,,,,SA-13,1,15-07-2021 00:00,,,2490,TRUE,,
80,15,Responser 1 Ltr,Service,25,ml,PGSC000068,,,,,SA-14,1,15-07-2021 00:00,,,750,TRUE,,
81,15,Solfac,Service,25,ml,SEWDB19011,,,,,SA-15,1,15-07-2021 00:00,,,1510,TRUE,,
82,15,Temprid - 500ml,Service,25,ml,PGSC000009,,,,,SA-16,1,15-07-2021 00:00,,,3903,TRUE,,
83,15,Termiseal-G(1kg),Service,25,gram,HI2018,,,,,SA-17,1,15-07-2021 00:00,,,589,TRUE,,
84,15,Transportex 1 Ltr,Service,25,ml,20KTX012,,,,,SA-18,1,15-07-2021 00:00,,,1060,TRUE,,
85,15,Virozil Pharma,Service,25,ml,VP520013,,,,,SA-19,1,15-07-2021 00:00,,,330,TRUE,,
86,15,Zoono Surface Sanitizer,Service,25,ml,B55219,,,,,SA-20,1,15-07-2021 00:00,,,4300,TRUE,,
12,1,Gasket (V Type Silicon Gasket - 4.5 CF,Sales,20,nos,,,,,,SA-21,1,15-07-2021 00:00,,,650,TRUE,,
101,19,Anti Bird Net 19mm Black 10x30M,Service,20,sq.m,NIL,,,,,SA-22,1,15-07-2021 00:00,,,44,TRUE,,
102,19,Anti Bird Net 19 mm White 10 x 30 M,Service,20,sq.m,NIL,,,,,SA-23,1,15-07-2021 00:00,,,44,TRUE,,
103,19,Anti Bird Net 50mm Black 10x30 M,Service,20,sq.m,NIL,,,,,SA-24,1,15-07-2021 00:00,,,14,TRUE,,
104,19,Anti Bird Net 50mm White 10 x 30 M,Service,20,sq.m,NIL,,,,,SA-25,1,15-07-2021 00:00,,,17,TRUE,,
13,1,F Nipple,Sales,20,nos,,,,,,SA-26,1,15-07-2021 00:00,,,272,TRUE,,
14,1,Heating Tape - 10mtr,Sales,20,nos,,,,,,SA-27,1,15-07-2021 00:00,,,8800,TRUE,,
16,1,Industrial Heater 6KW,Sales,20,nos,,,,,,SA-28,1,15-07-2021 00:00,,,1228,TRUE,,
17,1,Led Indicator PCB,Sales,20,nos,,,,,,SA-29,1,15-07-2021 00:00,,,2200,TRUE,,
109,19,SS304 Wire Rope,Service,20,Metre,NIL,,,,,SA-30,1,15-07-2021 00:00,,,8,TRUE,,
18,1,Male Elbow 8x1/4,Sales,20,nos,,,,,,SA-31,1,15-07-2021 00:00,,,55,TRUE,,
20,1,PID Temperature Controller,Sales,20,nos,,,,,,SA-32,1,15-07-2021 00:00,,,6500,TRUE,,
21,1,Power Supply Board - EtO,Sales,20,nos,,,,,,SA-33,1,15-07-2021 00:00,,,860,TRUE,,
22,1,Power Supply for 4.5cf Auto,Sales,20,nos,,,,,,SA-34,1,15-07-2021 00:00,,,1500,TRUE,,
23,1,Pressure Regulating Valve,Sales,20,nos,,,,,,SA-35,1,15-07-2021 00:00,,,918,TRUE,,
24,1,Printer Ribbon Cartridge,Sales,20,nos,,,,,,SA-36,1,15-07-2021 00:00,,,650,TRUE,,
25,1,PT-100 Simplex Sensor 1.5 Mtr,Sales,20,nos,,,,,,SA-37,1,15-07-2021 00:00,,,725,TRUE,,
28,1,Silicon Gasket Blue V Type - 16 CF,Sales,20,nos,,,,,,SA-38,1,15-07-2021 00:00,,,6282,TRUE,,
29,1,Solenoid Valve Steam,Sales,20,nos,,,,,,SA-39,1,15-07-2021 00:00,,,2750,TRUE,,
30,1,Solid State Relay 10 AMP,Sales,20,nos,,,,,,SA-40,1,15-07-2021 00:00,,,950,TRUE,,
31,1,S S Tray for 8 CF,Sales,20,nos,,,,,,SA-41,1,15-07-2021 00:00,,,14800,TRUE,,
32,1,Sterilization Reel 20cm x 200mtr,Sales,20,nos,,,,,,SA-42,1,15-07-2021 00:00,,,1800,TRUE,,
33,1,Temperature Transmitter,Sales,20,nos,,,,,,SA-43,1,15-07-2021 00:00,,,3500,TRUE,,
34,1,Thermal Printer Paper Roll,Sales,20,nos,,,,,,SA-44,1,15-07-2021 00:00,,,8,TRUE,,
37,2,Ethylene Oxide Cartridge 100gm,Sales,20,nos,,,,,,SA-45,1,15-07-2021 00:00,,,140,TRUE,,
38,2,Ethylene Oxide Cartridge (170gm),Sales,20,nos,,,,,,SA-46,1,15-07-2021 00:00,,,225,TRUE,,
39,2,Ethylene Oxide Cartridge (340gm),Sales,20,nos,,,,,,SA-47,1,15-07-2021 00:00,,,375,TRUE,,
40,2,Ethylene Oxide Cartridge 40gm,Sales,20,nos,,,,,,SA-48,1,15-07-2021 00:00,,,65,TRUE,,
41,3,AirPro Atomizer,Sales,20,nos,,,,,,SA-49,1,15-07-2021 00:00,,,6800,TRUE,,
42,3,Automatic Sanitizer,Sales,20,nos,,,,,,SA-50,1,15-07-2021 00:00,,,5600,TRUE,,
43,4,Blue Sticky Traps,Sales,20,nos,,,,,,SA-51,1,15-07-2021 00:00,,,19,TRUE,,
